w1,v1
coiled,2.241
gainer,2.223215385
j-hook,2.21158209
cup/handle,2.209103448
af,2.204333333
ralph,2.204333333
payout,2.203259259
consolidation,2.192294931
approve,2.190084507
writer,2.188125
driller,2.175055556
one,2.173642045
cv,2.1736
ers,2.160964286
brkb,2.154807692
explosive,2.148881356
definitly,2.141
zortrades.com,2.141
mud,2.141
recco,2.141
hangin,2.141
centerline,2.141
tdox,2.141
maximize,2.141
kumo,2.141
price/volume,2.141
chrontech,2.141
tonite,2.141
worthy,2.141
c/h,2.141
crumpet,2.141
ipadminus,2.141
shortage,2.141
muted,2.141
likey,2.141
frustrate,2.141
swear,2.141
beast,2.139968
court,2.121915493
holding,2.113313433
~,2.1009375
gium,2.100666667
settlement,2.099356322
finish,2.081605263
accumulate,2.081113043
symm,2.069279279
string,2.058653846
nicer,2.056
modernist,2.056
determination,2.056
liver,2.056
database,2.056
ira,2.055871795
buying,2.055527779
greatly,2.05536
biotech,2.050695652
ht,2.044594595
davo,2.034
dna,2.034
install,2.034
hop,2.034
pessimism,2.034
unmet,2.034
comprar,2.034
marijuana,2.034
marxe,2.034
mayb,2.034
supposedly,2.034
level,2.034
kv-a,2.034
divi,2.034
novasep,2.034
menax,2.034
suitor,2.034
ok,2.034
tumor,2.034
priority,2.034
battle,2.034
watchn,2.034
yy,2.034
oil/gas,2.034
acorn,2.034
lion,2.034
horizotal,2.034
breast,2.034
perf,2.034
notch,2.034
harvest,2.034
electronics,2.034
publication,2.034
orphan,2.034
cousin,2.034
lupus,2.034
i-h,2.034
upwards,2.034
pronova,2.034
imac,2.022055556
spec,2.01162963
child,2.009333333
above,2.008954194
upcoming,1.998173913
approval,1.9908
shr,1.990754386
letter,1.970129032
explosion,1.961102041
rip,1.960879581
bidding,1.95276087
dip,1.95203768
handle,1.95005125
poke,1.946063492
impressed,1.941545455
inch,1.941545455
sentence,1.941
leerink,1.941
calm,1.941
tightly,1.941
equip,1.941
leapfrog,1.941
scientific,1.941
lionsgate,1.941
postive,1.941
follow-thru,1.941
jcus,1.941
decimal,1.941
coventry,1.941
happier,1.941
rinse,1.941
intellectual,1.941
btfd,1.941
benlysta,1.941
panel,1.9323
long,1.931922963
onvo,1.922869565
quadruple,1.919
ethanol,1.919
!:),1.919
sabby,1.919
edvacourt,1.919
bnn,1.919
allocate,1.919
peer,1.919
dealer,1.919
teacher,1.919
helsinkus,1.919
bod,1.919
unleash,1.919
d.b.,1.919
twilight,1.919
launchpad,1.919
madness,1.919
blessing,1.919
lkqx,1.919
omxh,1.919
blisibimod,1.919
extraordinary,1.919
port,1.919
zacky,1.919
composition,1.919
ldl,1.919
debrief,1.919
race,1.919
omthera,1.919
elus,1.919
bwin,1.919
entity,1.919
boxing,1.919
diabetes,1.919
backlog,1.919
mill,1.915818182
bo,1.895583333
raid,1.890170213
solr,1.882885714
coverage,1.866666667
aaple,1.8645
coiling,1.849222222
iqnt,1.836714286
shop,1.835565217
engine,1.833155556
@,1.829907692
travel,1.827619048
shallow,1.827619048
hiv,1.82305
shipper,1.818
act,1.817433213
fav,1.803255319
uptrend,1.80269697
nat,1.798007246
Saturday,1.78
w-a,1.77626087
clinical,1.772590909
solar,1.7675
pan,1.760625
climbing,1.75683871
voice,1.7528
pst,1.747764706
function,1.744545455
present,1.743857143
online,1.7409375
ob,1.733983333
flagging,1.728705882
smoking,1.724727273
climb,1.718022989
buck,1.7115
smile,1.7115
conference,1.709739583
trigger,1.702458716
bright,1.70225
knight,1.698631579
blast,1.695983607
prem,1.693388889
birthday,1.687529412
spark,1.6809375
cmon,1.677322581
browser,1.676125
vol,1.673466667
team,1.66908642
cigx,1.667368421
consolidated,1.658525
boost,1.655076923
newsletter,1.653327586
chemical,1.648403226
high,1.646666667
successful,1.642010526
newbie,1.635157895
absolute,1.635157895
gear,1.635157895
negotiate,1.630111111
healthy,1.629068826
computing,1.624470588
mobile,1.623427273
allow,1.623307292
launch,1.620279661
itv,1.602714286
soldier,1.593129032
blockbuster,1.593129032
eventual,1.59
combo,1.588695652
giddy,1.586054054
curl,1.583455882
asc,1.581035
dragon,1.57721519
worth,1.576855688
NUMx,1.568842105
improving,1.568842105
gogogo,1.564
sprint,1.558857143
las,1.558588235
breakfast,1.558588235
whisper,1.558588235
healthcare,1.5576
upgrade,1.5562
ski,1.553891892
fertilizer,1.5534
plant,1.551891892
center,1.550769231
embedded,1.546057143
truck,1.545671642
rollout,1.5456
hottest,1.5456
aboard,1.543666667
good,1.540778002
file,1.540164179
break-out,1.537272727
comprehensive,1.535974359
tc,1.535411765
cerberus,1.534222222
post,1.533333333
unit,1.52922449
di,1.526454545
industry,1.523416107
bottom,1.522113402
:)),1.519444444
mil,1.516787879
sa,1.516147541
order,1.504975
golden,1.503337931
rumor,1.498736842
thnx,1.494111111
cross,1.494111111
impress,1.492214286
football,1.488941176
discover,1.488941176
boom,1.488941176
pharma,1.485529412
surge,1.484076923
billionaire,1.483125
tear,1.48171875
bil,1.481684211
resource,1.480228571
glta,1.477666667
itch,1.475651163
moving,1.473083333
fly,1.465574194
w/volume,1.464809524
shakeout,1.461815534
benefit,1.455396226
stop-loss,1.455272727
lv,1.45372973
relax,1.449394737
bot,1.4463
aoneq,1.438181818
jame,1.437842105
improve,1.437560345
science,1.436307692
etc,1.429991525
reply,1.421
changer,1.420695652
frenzy,1.415529412
st,1.415529412
flyer,1.415529412
belief,1.415473684
annual,1.413702128
n,1.413176471
ka,1.41
bam,1.41
lien,1.409207547
rumble,1.403733333
stocktwits,1.403733333
nda,1.403733333
catch,1.4025
upward,1.4001875
quiet,1.39856044
po,1.396571429
lol,1.395882353
shine,1.395454545
orange,1.389655172
overcome,1.388307692
percent-NUM,1.388307692
run,1.383692111
duration,1.379230769
zack,1.378666667
negativity,1.375085714
buffett,1.373217391
deadline,1.373217391
luv,1.371294118
dr,1.370676471
follow-through,1.370311111
deliberation,1.367272727
potential,1.361924652
:D,1.358709677
choo,1.3536
pr,1.349904285
han,1.349108911
ease,1.342055556
ditto,1.337538462
w/in,1.337538462
cheap,1.337411765
separate,1.337411765
babe,1.337411765
tangible,1.337411765
quietly,1.337272727
sailing,1.332434783
there,1.3321875
newby,1.3321875
jump,1.332065789
tiger,1.326266667
pharmaceutical,1.326266667
cyan,1.326266667
cheezit,1.32352
er,1.323
bean,1.323
treatment,1.318333333
NUMk,1.31733
poll,1.317272727
performer,1.312301887
p/m,1.311692308
infringe,1.311058824
positively,1.3041
ka-chinga,1.3041
trend,1.303626087
fine,1.297741935
monster,1.295435294
volume,1.286444168
ignite,1.28156
acct,1.279021739
doc,1.278222222
uxg,1.273363636
document,1.271869565
forest,1.271869565
bro,1.270915254
girl,1.269773585
stalk,1.269337621
submit,1.266363636
percentab,1.260333333
drug,1.253123077
c'mon,1.250625
horizontal,1.250625
breakup,1.250625
bless,1.246266667
buyout,1.245299145
make,1.245066667
propose,1.245066667
relate,1.245066667
spring,1.245066667
build,1.244681481
what,1.244645161
peace,1.244645161
rank,1.238714286
english,1.238714286
prod,1.238714286
secure,1.235448276
transaction,1.235448276
marissa,1.231384615
ramping,1.231384615
link,1.2308
awesome,1.2285
invention,1.222833333
obesity,1.222833333
grail,1.222833333
signature,1.216294118
yahtzee,1.212727273
application,1.212727273
young,1.208113636
uranium,1.206952381
lovin,1.206952381
involve,1.198627907
nokium,1.197450704
life,1.196785225
calculate,1.196
random,1.191071429
thin,1.191037344
exactly,1.184054795
ultra,1.177325581
dude,1.177058824
population,1.171483871
director,1.171317073
watchlist,1.169121622
cream,1.1634375
dd,1.162454545
human,1.161391304
setting,1.160473684
decent,1.159691395
appreciate,1.158318841
railroad,1.158266667
fab,1.158266667
pretty,1.158266667
strongest,1.158115702
leader,1.156618868
boy,1.156363636
shout,1.152357143
cheat,1.152357143
surprisingly,1.152357143
trucking,1.152357143
speculate,1.15
NUM-min,1.148771429
hearing,1.145538462
vegas,1.145538462
elevate,1.145538462
frustrating,1.145538462
eddie,1.1448
acquisition,1.142307692
avatar,1.138105263
declare,1.134875
average,1.134299401
hopefully,1.128869863
hip,1.128769231
hunger,1.128181818
ipad,1.126666667
kirby,1.123783784
like,1.123737018
honey,1.122352941
coupon,1.122352941
superbowl,1.1169
reclaim,1.115446154
fantastic,1.113
whoa,1.11262069
gather,1.109793103
darva,1.107333333
dividend,1.106651675
NUMd,1.102794686
hot,1.10277551
office,1.100509434
spite,1.098181818
apparel,1.098181818
fractal,1.096921569
stocktwit,1.096271186
firing,1.092952381
NUMpt,1.089
loving,1.085875
t.,1.085875
chip,1.084808219
great,1.080773886
float,1.080703947
mac,1.079508197
tremendous,1.077352941
heat,1.076645161
gobble,1.075533333
circulate,1.073538462
halt,1.072837209
dowNUM,1.071
feb.,1.0696875
naz,1.069466667
patience,1.068898204
tmrw,1.065987179
w/vol,1.064933333
favorite,1.064702128
mix,1.059555556
entertaining,1.0595
co.,1.0595
assessment,1.0595
wallet,1.0595
teslum,1.0595
tx,1.0595
catapult,1.0595
joint,1.0595
corporation,1.0582
feature,1.057
filing,1.056583333
direct,1.053230769
anticipatory,1.053230769
phenomenal,1.053230769
progress,1.053230769
processor,1.053230769
prescribe,1.053230769
sweating,1.053230769
hehehe,1.053230769
va,1.053230769
musk,1.045916667
sample,1.045916667
cheer,1.045916667
christmas,1.045222222
strength,1.044745366
liking,1.044674157
walmart,1.043
double,1.04248951
rel,1.041477273
robert,1.037272727
pickup,1.037272727
legal,1.036521739
encouraging,1.032333333
annoying,1.032333333
coast,1.032333333
china,1.02812844
local,1.028125
htc,1.0269
on-a-stick,1.0269
ll,1.0269
NUMq,1.0269
panic,1.023206897
name,1.02087251
presentation,1.019811321
easiest,1.014222222
sb,1.014222222
kick,1.014222222
ship,1.014222222
kst,1.014222222
recover,1.013205674
a/h,1.009346154
click,1.008465116
pocket,1.008129032
label,1.00408
store,1.004047244
ti,1.00269697
record,1.001975806
bang,1.000877193
x,1.000272388
convert,0.998375
joyg,0.998375
pivot,0.9972941176
lighter,0.9928172043
son,0.9925641026
eoy,0.9904782609
orderly,0.98
gaming,0.9796
finviz.com,0.978
future,0.9770153846
stress,0.9747692308
runner,0.9741797753
gorgeous,0.969
watchin,0.968
yup,0.9657878788
lumium,0.96492
wth,0.9639
brazilian,0.9639
NUMma,0.9619346413
stuff,0.9603131715
divide,0.9601428571
appropriate,0.9601428571
rage,0.9601428571
complaint,0.96
gapper,0.9582631579
acquire,0.9582631579
ipod,0.9575384615
rockin,0.9544615385
talking,0.9544615385
copy,0.9544615385
amc,0.9544615385
cham,0.9544615385
raymond,0.9544615385
doubter,0.9544615385
killer,0.9522857143
seat,0.9522857143
ave.,0.952
blowout,0.9491707317
go,0.9486326531
founder,0.9478333333
neighborhood,0.9478333333
motorolum,0.9478333333
startup,0.9478333333
worldwide,0.9478333333
dot,0.9470789474
purchase,0.94605
ridiculously,0.945
rino,0.9437837838
md,0.94
rice,0.94
theyre,0.94
download,0.94
ch,0.94
africa,0.94
bernstein,0.94
sheesh,0.94
screw,0.94
gate,0.9334285714
watch-list,0.9306
influence,0.9306
underestimate,0.92928
introduce,0.928
improvement,0.928
comin,0.9276666667
crosshair,0.92225
forever,0.9222162162
lookn,0.9191111111
alright,0.9191111111
cyber,0.919
comeback,0.9172413793
result,0.9171770771
web,0.9158285714
strategic,0.9146923077
bold,0.9146923077
pre-earnings,0.9146923077
da,0.9131851852
loeb,0.9128
marketing,0.9117209302
fut,0.9101694915
brkout,0.90992
duh,0.90992
recapture,0.9068181818
announce,0.9057272727
new,0.9030067973
investment,0.8995582176
ag,0.8991929825
roller,0.8991304348
special,0.8935384615
incorrect,0.8920526316
payment,0.8898909091
narrow,0.8862857143
thanksgiving,0.8862222222
energy,0.8848318426
nite,0.8797058824
innovative,0.8797058824
oversell,0.8786966292
holdin,0.872375
infrastructure,0.872375
investigate,0.872375
mindful,0.8693333333
anyway,0.8686875
breather,0.8677358491
challenge,0.8675555556
hater,0.8647692308
stupidity,0.8625833333
analyze,0.85575
hibernation,0.8554545455
NUM/share,0.8554545455
nevertheless,0.8554545455
chicken,0.8545714286
manipulation,0.85432
wake,0.8495384615
thru,0.8491637792
rebound,0.8488301887
oppty,0.84745
group,0.8473684211
rollercoaster,0.8469
confused,0.8424166667
tommorrow,0.8424166667
diligence,0.8424166667
j.p.,0.8424166667
research,0.8424166667
grocery,0.8424166667
upbeat,0.8424166667
digging,0.8424166667
growth,0.8392839208
beyond,0.83763
deal,0.8372368421
punch,0.8372
cbo,0.8358
box,0.8356323907
chew,0.8354545455
takeout,0.8354545455
cylinder,0.8354545455
drilling,0.8354545455
NUM-NUMm,0.8354545455
mature,0.8354545455
calc,0.8354545455
profit-taking,0.8354545455
overtake,0.8354545455
legitimate,0.8354545455
dabble,0.8354545455
amazing,0.8348677249
hold,0.8345161196
setup,0.8335310703
hang,0.8334585799
semus,0.8322857143
pic,0.828
stellar,0.828
dmi,0.8272
excellent,0.8271282051
subject,0.8271
sling,0.8271
fuqus,0.8271
rim,0.8271
constraint,0.8271
cm,0.8271
kaboom,0.8271
stock,0.8260857143
fiat,0.823375
device,0.8230704225
litigation,0.8222631579
l,0.8201575758
heart,0.8186862745
glitch,0.8168888889
mo.,0.8168888889
NUMweek,0.8168888889
strategydeskformulum,0.8168571429
mgmt,0.8157209302
split,0.8150625
happy,0.8142151899
thats,0.8127241379
jiggy,0.8108823529
reset,0.8108823529
crush,0.8108823529
pun,0.8108823529
impatient,0.8108823529
source,0.8083783784
trail,0.8075757576
manip,0.804125
carl,0.804125
NUMmorrow,0.804125
grid,0.804125
drive,0.8028473684
janNUM,0.8010731707
kid,0.8010285714
bt,0.7991304348
hey,0.7983333333
steadily,0.7980789474
compelling,0.7956
press,0.7951962617
angry,0.7936818182
expand,0.7916591928
medicine,0.7877142857
jc,0.7877142857
tue,0.7862068966
ve,0.7848235294
k,0.78456
peel,0.7838529412
load,0.7837241379
other,0.7835889571
vwap,0.7828877005
success,0.782862069
theres,0.78115
bid,0.7807305389
supportive,0.7802666667
publish,0.7797884615
interested,0.7773546512
surpass,0.7767857143
adx,0.7721686747
standpoint,0.7658333333
release,0.765
pull,0.7642918815
Friday,0.7605940594
fuel,0.7604824483
learn,0.7601584158
out,0.7600748587
schedule,0.759173913
search,0.7576271186
increase,0.7537064846
macd/sto,0.750617284
surely,0.7502040816
reg,0.749875
kicker,0.7465416667
flip,0.7463673469
dumpster,0.7457142857
congrat,0.7455084746
mine,0.7452173913
shape,0.7449661017
nibble,0.7445647059
resilient,0.7431111111
i-phone,0.7427777778
website,0.7411290323
mike,0.7411111111
crawl,0.7409090909
belive,0.7409090909
educate,0.7409090909
monopoly,0.7409090909
scottrade,0.7409090909
thrill,0.7409090909
instant,0.7409090909
frequently,0.7409090909
s,0.7401363636
racing,0.7376470588
.NUM.NUM,0.7376470588
canada,0.7368928571
win,0.7363773585
incredible,0.7361780822
monetize,0.7345714286
gravy,0.7335
in,0.7335
cnbc,0.7335
constantly,0.7315
rational,0.7315
angel,0.7315
w,0.7315
qpsa,0.7315
rous,0.7308
mb,0.72845
coaster,0.72845
share,0.7276282818
professional,0.7269166667
if/when,0.7269166667
sweet,0.7268619247
xma,0.7252
section,0.7245333333
smarter,0.7245333333
feeler,0.7245333333
permit,0.7244444444
increment,0.7244444444
em,0.7244444444
outlet,0.7244444444
nfl,0.7244444444
multi,0.723027027
projection,0.7212190202
lab,0.7209090909
nh,0.7209090909
gapping,0.7209090909
novice,0.7209090909
takin,0.7209090909
tug,0.7209090909
singapore,0.7209090909
ohh,0.7209090909
NUMmm,0.7209090909
NUMmro,0.7209090909
austin,0.7209090909
realistically,0.7209090909
murphy,0.7209090909
select,0.72072
production,0.72
descend,0.7188521739
soo,0.7165714286
choice,0.7162121212
perform,0.7145714286
stoke,0.7137
eNUM,0.7137
criterion,0.7137
actively,0.7137
jet,0.7137
mama,0.7137
anxious,0.7137
snag,0.7137
plate,0.7137
endless,0.7137
mere,0.7137
handful,0.713125
revolution,0.713125
benzinga,0.713125
hail,0.713125
think,0.7130588235
light,0.7126363636
nervous,0.7118181818
rr,0.7115294118
relative,0.7107677801
try,0.7105675676
personally,0.7075178571
continuation,0.7072282398
vanguard,0.7048888889
jpmorgan,0.7048888889
futile,0.7048888889
u/g,0.7048888889
ingredient,0.7048888889
phd,0.7048888889
drift,0.7036363636
everybody,0.7018571429
activity,0.7007142857
beautiful,0.6988819188
bloomberg,0.6982962963
cell,0.6976666667
wind,0.6966666667
February,0.6966166667
bash,0.6943548387
na,0.693875
hemp,0.693875
condor,0.693875
necessarily,0.69275
property,0.68796
lately,0.6873626374
casino,0.6864782609
nrNUM,0.6848636364
portfolio,0.6848
delisting,0.684
foreign,0.6825
pin,0.68145
w/e,0.6809090909
friendly,0.6797142857
citron,0.6797142857
sign,0.6794545455
move,0.6777176913
squeeze,0.6765337079
incr,0.6763823529
pullback,0.6733411275
settle,0.6730088496
thanks,0.672
keep,0.6696573705
hesitate,0.6682
physical,0.6677894737
clean,0.6667236181
slot,0.6657777778
sleep,0.6650967742
network,0.6631333333
warm,0.6608823529
pleased,0.6608823529
yah,0.6608823529
appreciation,0.6608823529
reporting,0.6608333333
somewhat,0.6607317073
alot,0.6602272727
such,0.6586363636
train,0.6569528302
silent,0.655375
running,0.655375
natural,0.6553636364
delay,0.6534814815
paypal,0.6495789474
answer,0.6494117647
properly,0.6491333333
alike,0.6491333333
compliance,0.6488181818
nearby,0.6484782609
feedback,0.6482313139
tomorow,0.645
reward,0.6424
tier,0.6391666667
everyday,0.63703125
exceed,0.636754717
lovely,0.6362790698
ding,0.6344
ecosystem,0.6344
bandwagon,0.6336086957
love,0.6331840278
app,0.6322380952
asia,0.6321
guy,0.6313404255
merry,0.6308181818
set,0.6299085787
pad,0.6281935484
ot,0.6281935484
use,0.6277916667
toy,0.6275454545
yoy,0.6272
survey,0.627
attractive,0.6241929825
nj,0.6241666667
various,0.6241666667
proper,0.6241666667
management,0.6230322581
sale,0.6229726633
invest,0.6208
NUM-yr,0.61953125
magic,0.6171
abc,0.6148685714
ih,0.6128955224
fc,0.6128181818
ready,0.6123150289
information,0.6104
journal,0.6102857143
nfc,0.6091428571
extra,0.607884058
apparently,0.6074444444
jeffery,0.6054545455
indium,0.605
wild,0.6039893617
clarity,0.6024615385
Wednesday,0.6022443182
hear,0.6017307692
additional,0.6009230769
wish,0.5993504274
fishing,0.59895
woman,0.59808
stream,0.5978591549
yest,0.5964848485
haha,0.5943673469
technology,0.5942673267
jaffray,0.5933333333
today,0.5919482432
sector,0.5906511628
vacuum,0.589675
push,0.5867647059
amount,0.5853571429
absolutely,0.5837113402
recent,0.5811790643
provider,0.5788235294
decl,0.5784269663
near,0.5757795276
dismiss,0.574
request,0.574
assist,0.574
package,0.574
sneaky,0.574
jan.,0.5727179487
wsj,0.5718974359
Thursday,0.57007393
piper,0.5690588235
crew,0.5685333333
btwn,0.5685333333
proceed,0.5685333333
magical,0.5685333333
wander,0.5685333333
offset,0.5685333333
spin,0.5679375
length,0.5665454545
sound,0.5637971014
substantially,0.5622857143
preferred,0.5622857143
efficient,0.5622857143
unstoppable,0.5622857143
absurd,0.5622857143
enough,0.5614914758
w/NUM,0.561382716
per,0.560046875
.NUM,0.5576
p/b,0.5569811321
oversold,0.5569482289
golf,0.5550769231
preliminary,0.5550769231
begining,0.5550769231
therefore,0.5535
platinum,0.5535
greater,0.5533207547
tape,0.5524358974
platform,0.552
advance,0.55104
scan,0.5496116505
crazy,0.5480357143
daughter,0.5466666667
minus,0.5466666667
ammo,0.5466666667
excited,0.5466666667
rev,0.5466666667
rsi/macd,0.5466666667
munster,0.5466666667
congratulation,0.5428965517
run-up,0.5428965517
t/l,0.5427398298
else,0.5419130435
claim,0.5402352941
giant,0.5402352941
sup,0.5402262774
inside,0.5395559211
trus,0.5370241935
kong,0.5367272727
printer,0.5345185185
itz,0.5345185185
agenda,0.533
back,0.5324693878
relevant,0.5298461538
mas,0.5262857143
charge,0.52615
frus,0.5257358491
execute,0.5248
steel,0.522358209
truly,0.5186976744
re,0.5166666667
dec.,0.515030303
roughly,0.5144324324
since,0.5127324612
taker,0.5118367347
pace,0.510675
gadget,0.5096666667
deserve,0.5080909091
gamble,0.5080384615
tough,0.5075934426
ride,0.5073275862
shot,0.5069404762
movement,0.506
fashion,0.5051538462
through,0.5041254512
ex,0.5032786885
dt,0.5032025316
after,0.5026933342
def,0.5016666667
ass,0.5016666667
admit,0.5016226415
news,0.5000642152
honest,0.498875
terrific,0.4988571429
interest,0.4984197377
twit,0.4984
forward,0.4981141304
cie,0.4966363636
weather,0.4951612903
specific,0.4947
gltu,0.493173913
traffic,0.4902692308
heating,0.4901052632
bump,0.48928125
fyus,0.4891186441
biggie,0.4890769231
fidelity,0.4884545455
damn,0.4884150943
gl,0.4880512821
institutional,0.486537037
pepitoNUM,0.4865
decade,0.4856
nexus,0.485
mayer,0.485
nickel,0.485
bb,0.4845042316
fully,0.48359375
feeling,0.4830882353
living,0.4818666667
wrestle,0.4818666667
emerge,0.4809517241
exclusive,0.4792941176
stay,0.47892
cwus,0.4776333333
chatter,0.4770566038
typing,0.4765714286
equipment,0.4765714286
embrace,0.4765714286
moderate,0.4765714286
someday,0.4765714286
integration,0.4765714286
reload,0.4765714286
hmmmmm,0.4765714286
placement,0.4765714286
purely,0.4765714286
joke,0.4765714286
announcement,0.4762105263
dual,0.4760784314
woot,0.4759047619
favor,0.4733076923
yield,0.4731142857
yahoo,0.4731029412
care,0.4715326087
approximately,0.4704615385
shock,0.4704615385
suprise,0.4704615385
ummm,0.4704615385
york,0.4704615385
bout,0.4704
pennant,0.4699326146
parallel,0.4698796789
rise,0.4690491803
warren,0.4671818182
daytrade,0.4656
normal,0.4646571429
blow,0.4643697479
playing,0.4639375
marker,0.4633333333
nuff,0.4633333333
larry,0.4633333333
along,0.4630588235
prime,0.4622380952
outta,0.4620454545
co,0.4607628866
nonsense,0.460483871
precedent,0.4572857143
aggressively,0.4567142857
suddenly,0.4567142857
established,0.4549090909
paradigm,0.4549090909
beverage,0.4549090909
universe,0.4549090909
moon,0.4534468085
enjoy,0.4532278481
relation,0.452862069
unusual,0.4499142857
uptick,0.4490769231
holder,0.448
boo,0.4448
cent,0.4438980583
dont,0.4428387097
unique,0.4419565217
grand,0.4419565217
dream,0.4419487179
momo,0.4414738412
candy,0.441
conf,0.4407857143
brainer,0.4404186047
wise,0.439745098
hammer,0.4396228571
unbelievable,0.4379032258
payday,0.4377666667
pile,0.4377272727
board,0.4362014388
shoot,0.4361538462
wonderful,0.4353673469
cumulative,0.4330952381
scallop,0.4324444444
generally,0.4321153846
multi-year,0.4305376344
hurricane,0.4284
ripper,0.4284
display,0.427375
brk,0.4263157895
disagree,0.4259482759
midday,0.4244210526
postion,0.4244210526
otc,0.4235416667
receive,0.4215584416
trannie,0.42
coal,0.42
unlike,0.4196944444
bf,0.4190666667
restaurant,0.4186956522
congestion,0.4176
easily,0.4174409938
captain,0.4150588235
builder,0.414
Tuesday,0.413992126
ripe,0.4136528926
barrier,0.4123636364
relatively,0.4122857143
macd,0.4116054545
boss,0.4102647059
ty,0.4100833333
ft,0.4095
solve,0.4070769231
sneak,0.4070769231
heaven,0.4064516129
math,0.4054237288
info,0.4052848494
debate,0.4037142857
targ,0.4032
rep,0.4032
holiday,0.4028238292
smartphone,0.4010727273
barron,0.4006153846
thinner,0.40035
backtest,0.398328125
talk,0.3971975581
st.,0.3961176471
hope,0.39525
class,0.39442
common,0.3937191011
staying,0.3925
credibility,0.3925
type,0.392375
believe,0.3915193133
establish,0.3909873418
lady,0.3908571429
brand,0.3907647059
beautifully,0.3890869565
owner,0.3867906977
overall,0.3863076923
season,0.38556
sr,0.3853636364
rebind,0.385012987
yea,0.385
post-earnings,0.3848571429
umm,0.3848571429
tentative,0.3848571429
sniff,0.3848571429
NUM-week,0.3846545455
pass,0.3840909091
twitter,0.3837142857
bull,0.3833414677
address,0.3826875
mortgage,0.3814827586
excite,0.3809577465
silly,0.3799230769
lifting,0.3799230769
mean,0.3799230769
m,0.3799230769
wishful,0.3799230769
smallest,0.3799230769
